"","agency_cd","site_no","Date","X_00060_00003","X_00060_00003_cd"
"1","USGS","13055250",2023-07-01,194,"A"
"2","USGS","13055250",2023-07-02,218,"A"
"3","USGS","13055250",2023-07-03,209,"A"
"4","USGS","13055250",2023-07-04,192,"A"
"5","USGS","13055250",2023-07-05,179,"A"
"6","USGS","13055250",2023-07-06,128,"A"
"7","USGS","13055250",2023-07-07,113,"A"
"8","USGS","13055250",2023-07-08,52.4,"A"
"9","USGS","13055250",2023-07-09,68.2,"A"
"10","USGS","13055250",2023-07-10,86,"A"
"11","USGS","13055250",2023-07-11,71.8,"A"
"12","USGS","13055250",2023-07-12,46.5,"A"
"13","USGS","13055250",2023-07-13,46.2,"A"
"14","USGS","13055250",2023-07-14,65,"A"
"15","USGS","13055250",2023-07-15,43.1,"A"
"16","USGS","13055250",2023-07-16,28.4,"A"
"17","USGS","13055250",2023-07-17,24.2,"A"
"18","USGS","13055250",2023-07-18,30.9,"A"
"19","USGS","13055250",2023-07-19,18.5,"A e"
"20","USGS","13055250",2023-07-20,9.69,"A e"
"21","USGS","13055250",2023-07-21,2.63,"A e"
"22","USGS","13055250",2023-07-22,3.54,"A e"
"23","USGS","13055250",2023-07-23,26.5,"A"
"24","USGS","13055250",2023-07-24,13,"A"
"25","USGS","13055250",2023-07-25,7.65,"A"
"26","USGS","13055250",2023-07-26,9.54,"A"
"27","USGS","13055250",2023-07-27,6.63,"A"
"28","USGS","13055250",2023-07-28,6.62,"A"
"29","USGS","13055250",2023-07-29,7.72,"A"
"30","USGS","13055250",2023-07-30,5.37,"A"
"31","USGS","13055250",2023-07-31,2.41,"A"
"32","USGS","13055250",2023-08-01,0.8,"A"
"33","USGS","13055250",2023-08-02,5.32,"A"
"34","USGS","13055250",2023-08-03,17,"A"
"35","USGS","13055250",2023-08-04,22,"A"
"36","USGS","13055250",2023-08-05,6,"A"
"37","USGS","13055250",2023-08-06,2.75,"A"
"38","USGS","13055250",2023-08-07,8.3,"A"
"39","USGS","13055250",2023-08-08,10.8,"A"
"40","USGS","13055250",2023-08-09,6.95,"A"
"41","USGS","13055250",2023-08-10,7.06,"A"
"42","USGS","13055250",2023-08-11,5.64,"A"
"43","USGS","13055250",2023-08-12,5.14,"A"
"44","USGS","13055250",2023-08-13,6.44,"A"
"45","USGS","13055250",2023-08-14,7.18,"A"
"46","USGS","13055250",2023-08-15,0.6,"A"
"47","USGS","13055250",2023-08-16,3.06,"A"
"48","USGS","13055250",2023-08-17,7.82,"A"
"49","USGS","13055250",2023-08-18,11.6,"A"
"50","USGS","13055250",2023-08-19,4.8,"A"
"51","USGS","13055250",2023-08-20,2.4,"A"
"52","USGS","13055250",2023-08-21,13.5,"A"
"53","USGS","13055250",2023-08-22,14.5,"A"
"54","USGS","13055250",2023-08-23,6.91,"A"
"55","USGS","13055250",2023-08-24,0.33,"A"
"56","USGS","13055250",2023-08-25,0.02,"A"
"57","USGS","13055250",2023-08-26,0.37,"A"
"58","USGS","13055250",2023-08-27,1.44,"A"
"59","USGS","13055250",2023-08-28,22.7,"A"
"60","USGS","13055250",2023-08-29,23.7,"A"
"61","USGS","13055250",2023-08-30,24.1,"A"
"62","USGS","13055250",2023-08-31,24.2,"A"
"63","USGS","13055250",2023-09-01,21.7,"A"
"64","USGS","13055250",2023-09-02,30.5,"A"
"65","USGS","13055250",2023-09-03,33.7,"A"
"66","USGS","13055250",2023-09-04,28.6,"A"
"67","USGS","13055250",2023-09-05,8.44,"A"
"68","USGS","13055250",2023-09-06,22.1,"A"
"69","USGS","13055250",2023-09-07,20.3,"A"
"70","USGS","13055250",2023-09-08,17.2,"A"
"71","USGS","13055250",2023-09-09,9.34,"A"
"72","USGS","13055250",2023-09-10,11.7,"A"
"73","USGS","13055250",2023-09-11,3.85,"A"
"74","USGS","13055250",2023-09-12,9.6,"A"
"75","USGS","13055250",2023-09-13,10.7,"A"
"76","USGS","13055250",2023-09-14,17.9,"A"
"77","USGS","13055250",2023-09-15,10.9,"A"
"78","USGS","13055250",2023-09-16,4.12,"A"
"79","USGS","13055250",2023-09-17,13.1,"A"
"80","USGS","13055250",2023-09-18,23.6,"A"
"81","USGS","13055250",2023-09-19,34.4,"A"
"82","USGS","13055250",2023-09-20,34.9,"A"
"83","USGS","13055250",2023-09-21,46.2,"A"
"84","USGS","13055250",2023-09-22,62.1,"A"
"85","USGS","13055250",2023-09-23,61.6,"A"
"86","USGS","13055250",2023-09-24,53.9,"A"
"87","USGS","13055250",2023-09-25,52,"A"
"88","USGS","13055250",2023-09-26,47.2,"A"
"89","USGS","13055250",2023-09-27,47.7,"A"
"90","USGS","13055250",2023-09-28,43.2,"A"
"91","USGS","13055250",2023-09-29,43.4,"A"
"92","USGS","13055250",2023-09-30,43.7,"A"
"93","USGS","13055250",2023-10-01,42.3,"A"
"94","USGS","13055250",2023-10-02,50,"A"
"95","USGS","13055250",2023-10-03,50.2,"A"
"96","USGS","13055250",2023-10-04,57.8,"A"
"97","USGS","13055250",2023-10-05,93,"A"
"98","USGS","13055250",2023-10-06,60.9,"A"
"99","USGS","13055250",2023-10-07,47,"A"
"100","USGS","13055250",2023-10-08,35.2,"A"
"101","USGS","13055250",2023-10-09,32.1,"A"
"102","USGS","13055250",2023-10-10,32.8,"A"
"103","USGS","13055250",2023-10-11,39.9,"A"
"104","USGS","13055250",2023-10-12,44,"A"
"105","USGS","13055250",2023-10-13,62.3,"A"
"106","USGS","13055250",2023-10-14,70.6,"A"
"107","USGS","13055250",2023-10-15,61,"A"
"108","USGS","13055250",2023-10-16,47.1,"A"
"109","USGS","13055250",2023-10-17,45.8,"A"
"110","USGS","13055250",2023-10-18,45.1,"A"
"111","USGS","13055250",2023-10-19,49.3,"A"
"112","USGS","13055250",2023-10-20,51.1,"A"
"113","USGS","13055250",2023-10-21,51.1,"A"
"114","USGS","13055250",2023-10-22,58.3,"A"
"115","USGS","13055250",2023-10-23,85.9,"A"
"116","USGS","13055250",2023-10-24,84.9,"A"
"117","USGS","13055250",2023-10-25,90.1,"A"
"118","USGS","13055250",2023-10-26,172,"A"
"119","USGS","13055250",2023-10-27,276,"A"
"120","USGS","13055250",2023-10-28,265,"A"
"121","USGS","13055250",2023-10-29,268,"A"
"122","USGS","13055250",2023-10-30,235,"A"
"123","USGS","13055250",2023-10-31,223,"A"
