"","agency_cd","site_no","Date","X_00060_00003","X_00060_00003_cd"
"1","USGS","13055250",2022-07-01,174,"A"
"2","USGS","13055250",2022-07-02,168,"A"
"3","USGS","13055250",2022-07-03,180,"A"
"4","USGS","13055250",2022-07-04,171,"A"
"5","USGS","13055250",2022-07-05,129,"A"
"6","USGS","13055250",2022-07-06,102,"A"
"7","USGS","13055250",2022-07-07,82,"A"
"8","USGS","13055250",2022-07-08,66,"A"
"9","USGS","13055250",2022-07-09,52.6,"A"
"10","USGS","13055250",2022-07-10,56.3,"A"
"11","USGS","13055250",2022-07-11,36.6,"A"
"12","USGS","13055250",2022-07-12,5.73,"A"
"13","USGS","13055250",2022-07-13,2.27,"A"
"14","USGS","13055250",2022-07-14,6.91,"A"
"15","USGS","13055250",2022-07-15,7.72,"A"
"16","USGS","13055250",2022-07-16,2.18,"A"
"17","USGS","13055250",2022-07-17,1.61,"A"
"18","USGS","13055250",2022-07-18,2.1,"A"
"19","USGS","13055250",2022-07-19,3.58,"A"
"20","USGS","13055250",2022-07-20,0.42,"A"
"21","USGS","13055250",2022-07-21,0,"A"
"22","USGS","13055250",2022-07-22,0,"A"
"23","USGS","13055250",2022-07-23,0,"A"
"24","USGS","13055250",2022-07-24,0,"A"
"25","USGS","13055250",2022-07-25,0,"A"
"26","USGS","13055250",2022-07-26,0,"A"
"27","USGS","13055250",2022-07-27,0,"A"
"28","USGS","13055250",2022-07-28,0,"A"
"29","USGS","13055250",2022-07-29,0,"A"
"30","USGS","13055250",2022-07-30,0,"A"
"31","USGS","13055250",2022-07-31,0,"A"
"32","USGS","13055250",2022-08-01,0,"A"
"33","USGS","13055250",2022-08-02,0,"A"
"34","USGS","13055250",2022-08-03,0,"A"
"35","USGS","13055250",2022-08-04,0,"A"
"36","USGS","13055250",2022-08-05,0,"A"
"37","USGS","13055250",2022-08-06,0,"A"
"38","USGS","13055250",2022-08-07,0,"A"
"39","USGS","13055250",2022-08-08,0,"A"
"40","USGS","13055250",2022-08-09,0,"A"
"41","USGS","13055250",2022-08-10,0,"A"
"42","USGS","13055250",2022-08-11,0,"A"
"43","USGS","13055250",2022-08-12,0,"A"
"44","USGS","13055250",2022-08-13,0,"A"
"45","USGS","13055250",2022-08-14,0,"A"
"46","USGS","13055250",2022-08-15,0,"A"
"47","USGS","13055250",2022-08-16,0,"A"
"48","USGS","13055250",2022-08-17,0,"A"
"49","USGS","13055250",2022-08-18,0,"A"
"50","USGS","13055250",2022-08-19,0,"A"
"51","USGS","13055250",2022-08-20,0,"A"
"52","USGS","13055250",2022-08-21,0,"A"
"53","USGS","13055250",2022-08-22,0,"A"
"54","USGS","13055250",2022-08-23,0,"A"
"55","USGS","13055250",2022-08-24,0,"A"
"56","USGS","13055250",2022-08-25,0,"A"
"57","USGS","13055250",2022-08-26,0,"A"
"58","USGS","13055250",2022-08-27,0,"A"
"59","USGS","13055250",2022-08-28,0,"A"
"60","USGS","13055250",2022-08-29,0,"A"
"61","USGS","13055250",2022-08-30,0,"A"
"62","USGS","13055250",2022-08-31,0,"A"
"63","USGS","13055250",2022-09-01,0,"A"
"64","USGS","13055250",2022-09-02,0,"A"
"65","USGS","13055250",2022-09-03,0,"A"
"66","USGS","13055250",2022-09-04,0,"A"
"67","USGS","13055250",2022-09-05,0,"A"
