"","agency_cd","site_no","Date","X_00060_00003","X_00060_00003_cd"
"1","USGS","13055250",2021-07-01,15.3,"A"
"2","USGS","13055250",2021-07-02,17.9,"A"
"3","USGS","13055250",2021-07-03,11.5,"A"
"4","USGS","13055250",2021-07-04,10.9,"A"
"5","USGS","13055250",2021-07-05,7.31,"A"
"6","USGS","13055250",2021-07-06,2.67,"A"
"7","USGS","13055250",2021-07-07,6.75,"A"
"8","USGS","13055250",2021-07-08,8.96,"A"
"9","USGS","13055250",2021-07-09,8.27,"A"
"10","USGS","13055250",2021-07-10,10.8,"A"
"11","USGS","13055250",2021-07-11,4.23,"A"
"12","USGS","13055250",2021-07-12,2.29,"A"
"13","USGS","13055250",2021-07-13,0.94,"A"
"14","USGS","13055250",2021-07-14,0.93,"A"
"15","USGS","13055250",2021-07-15,4.74,"A"
"16","USGS","13055250",2021-07-16,6.13,"A"
"17","USGS","13055250",2021-07-17,4.89,"A"
"18","USGS","13055250",2021-07-18,4.92,"A"
"19","USGS","13055250",2021-07-19,5.5,"A"
"20","USGS","13055250",2021-07-20,6.56,"A"
"21","USGS","13055250",2021-07-21,7.13,"A"
"22","USGS","13055250",2021-07-22,7.75,"A"
"23","USGS","13055250",2021-07-23,3.42,"A"
"24","USGS","13055250",2021-07-24,5.83,"A"
"25","USGS","13055250",2021-07-25,12,"A"
"26","USGS","13055250",2021-07-26,14.5,"A"
"27","USGS","13055250",2021-07-27,7.86,"A"
"28","USGS","13055250",2021-07-28,2.86,"A"
"29","USGS","13055250",2021-07-29,0.58,"A"
"30","USGS","13055250",2021-07-30,0.8,"A"
"31","USGS","13055250",2021-07-31,1.32,"A"
"32","USGS","13055250",2021-08-01,2.5,"A"
"33","USGS","13055250",2021-08-02,8.06,"A"
"34","USGS","13055250",2021-08-03,8.89,"A"
"35","USGS","13055250",2021-08-04,14.5,"A"
"36","USGS","13055250",2021-08-05,11.5,"A"
"37","USGS","13055250",2021-08-06,8.68,"A"
"38","USGS","13055250",2021-08-07,8.47,"A"
"39","USGS","13055250",2021-08-08,10.9,"A"
"40","USGS","13055250",2021-08-09,6.11,"A"
"41","USGS","13055250",2021-08-10,0.27,"A"
"42","USGS","13055250",2021-08-11,0.07,"A"
"43","USGS","13055250",2021-08-12,0,"A"
"44","USGS","13055250",2021-08-13,0,"A"
"45","USGS","13055250",2021-08-14,0,"A"
"46","USGS","13055250",2021-08-15,0,"A"
"47","USGS","13055250",2021-08-16,0,"A"
"48","USGS","13055250",2021-08-17,0,"A"
