"","agency_cd","site_no","Date","X_00060_00003","X_00060_00003_cd"
"1","USGS","13055250",2016-07-01,25.7,"A"
"2","USGS","13055250",2016-07-02,31.4,"A"
"3","USGS","13055250",2016-07-03,16.1,"A"
"4","USGS","13055250",2016-07-04,12.1,"A"
"5","USGS","13055250",2016-07-05,17.3,"A"
"6","USGS","13055250",2016-07-06,18.4,"A"
"7","USGS","13055250",2016-07-07,29.5,"A"
"8","USGS","13055250",2016-07-08,27.6,"A"
"9","USGS","13055250",2016-07-09,39.7,"A"
"10","USGS","13055250",2016-07-10,41.7,"A"
"11","USGS","13055250",2016-07-11,60.9,"A"
"12","USGS","13055250",2016-07-12,31.2,"A"
"13","USGS","13055250",2016-07-13,12.9,"A"
"14","USGS","13055250",2016-07-14,11.6,"A"
"15","USGS","13055250",2016-07-15,7.47,"A"
"16","USGS","13055250",2016-07-16,16,"A"
"17","USGS","13055250",2016-07-17,16.1,"A"
"18","USGS","13055250",2016-07-18,12.8,"A"
"19","USGS","13055250",2016-07-19,27.9,"A"
"20","USGS","13055250",2016-07-20,19.9,"A"
"21","USGS","13055250",2016-07-21,8.56,"A"
"22","USGS","13055250",2016-07-22,11.3,"A"
"23","USGS","13055250",2016-07-23,8.77,"A"
"24","USGS","13055250",2016-07-24,15.7,"A"
"25","USGS","13055250",2016-07-25,10.8,"A"
"26","USGS","13055250",2016-07-26,3.74,"A"
"27","USGS","13055250",2016-07-27,3,"A"
"28","USGS","13055250",2016-07-28,5.35,"A"
"29","USGS","13055250",2016-07-29,2.66,"A"
"30","USGS","13055250",2016-07-30,1.38,"A"
"31","USGS","13055250",2016-07-31,1.22,"A"
"32","USGS","13055250",2016-08-01,0.74,"A"
"33","USGS","13055250",2016-08-02,0,"A"
"34","USGS","13055250",2016-08-03,0,"A"
"35","USGS","13055250",2016-08-04,0,"A"
"36","USGS","13055250",2016-08-05,0,"A"
"37","USGS","13055250",2016-08-06,0,"A"
"38","USGS","13055250",2016-08-07,0,"A"
"39","USGS","13055250",2016-08-08,0,"A"
"40","USGS","13055250",2016-08-09,0,"A"
"41","USGS","13055250",2016-08-10,0,"A"
"42","USGS","13055250",2016-08-11,0.04,"A"
"43","USGS","13055250",2016-08-12,0,"A"
"44","USGS","13055250",2016-08-13,0,"A"
"45","USGS","13055250",2016-08-14,0,"A"
"46","USGS","13055250",2016-08-15,0,"A"
"47","USGS","13055250",2016-08-16,0,"A"
"48","USGS","13055250",2016-08-17,0,"A"
"49","USGS","13055250",2016-08-18,0,"A"
"50","USGS","13055250",2016-08-19,0,"A"
"51","USGS","13055250",2016-08-20,0,"A"
"52","USGS","13055250",2016-08-21,0,"A"
"53","USGS","13055250",2016-08-22,0,"A"
"54","USGS","13055250",2016-08-23,0,"A"
"55","USGS","13055250",2016-08-24,0,"A"
"56","USGS","13055250",2016-08-25,0,"A"
"57","USGS","13055250",2016-08-26,0,"A"
"58","USGS","13055250",2016-08-27,0,"A"
"59","USGS","13055250",2016-08-28,0.03,"A"
"60","USGS","13055250",2016-08-29,0,"A"
"61","USGS","13055250",2016-08-30,0,"A"
"62","USGS","13055250",2016-08-31,0,"A"
"63","USGS","13055250",2016-09-01,0,"A"
"64","USGS","13055250",2016-09-02,0,"A"
"65","USGS","13055250",2016-09-03,0,"A"
"66","USGS","13055250",2016-09-04,0,"A"
"67","USGS","13055250",2016-09-05,0,"A"
"68","USGS","13055250",2016-09-06,0,"A"
"69","USGS","13055250",2016-09-07,0,"A"
"70","USGS","13055250",2016-09-08,0,"A"
"71","USGS","13055250",2016-09-09,0,"A"
"72","USGS","13055250",2016-09-10,0,"A"
"73","USGS","13055250",2016-09-11,0,"A"
"74","USGS","13055250",2016-09-12,0,"A"
"75","USGS","13055250",2016-09-13,0,"A"
"76","USGS","13055250",2016-09-14,0,"A"
"77","USGS","13055250",2016-09-15,0,"A"
"78","USGS","13055250",2016-09-16,0,"A"
"79","USGS","13055250",2016-09-17,0,"A"
"80","USGS","13055250",2016-09-18,0,"A"
"81","USGS","13055250",2016-09-19,0,"A"
"82","USGS","13055250",2016-09-20,0,"A"
"83","USGS","13055250",2016-09-21,0,"A"
"84","USGS","13055250",2016-09-22,0,"A"
"85","USGS","13055250",2016-09-23,0,"A"
"86","USGS","13055250",2016-09-24,0,"A"
"87","USGS","13055250",2016-09-25,0,"A"
"88","USGS","13055250",2016-09-26,0,"A"
"89","USGS","13055250",2016-09-27,0,"A"
"90","USGS","13055250",2016-09-28,4.09,"A"
"91","USGS","13055250",2016-09-29,34.1,"A"
"92","USGS","13055250",2016-09-30,27,"A"
"93","USGS","13055250",2016-10-01,0.01,"A"
"94","USGS","13055250",2016-10-02,10.6,"A"
"95","USGS","13055250",2016-10-03,46.4,"A"
"96","USGS","13055250",2016-10-04,111,"A"
"97","USGS","13055250",2016-10-05,113,"A"
"98","USGS","13055250",2016-10-06,91.3,"A"
"99","USGS","13055250",2016-10-07,88.9,"A"
"100","USGS","13055250",2016-10-08,72,"A"
"101","USGS","13055250",2016-10-09,70.3,"A"
"102","USGS","13055250",2016-10-10,67.7,"A"
"103","USGS","13055250",2016-10-11,66.7,"A"
"104","USGS","13055250",2016-10-12,68,"A"
"105","USGS","13055250",2016-10-13,69.6,"A"
"106","USGS","13055250",2016-10-14,69.1,"A"
"107","USGS","13055250",2016-10-15,75.7,"A"
"108","USGS","13055250",2016-10-16,99,"A"
"109","USGS","13055250",2016-10-17,153,"A"
"110","USGS","13055250",2016-10-18,155,"A"
"111","USGS","13055250",2016-10-19,147,"A"
"112","USGS","13055250",2016-10-20,129,"A"
"113","USGS","13055250",2016-10-21,108,"A"
"114","USGS","13055250",2016-10-22,100,"A"
"115","USGS","13055250",2016-10-23,95.4,"A"
"116","USGS","13055250",2016-10-24,92.4,"A"
"117","USGS","13055250",2016-10-25,97.2,"A"
"118","USGS","13055250",2016-10-26,110,"A"
"119","USGS","13055250",2016-10-27,152,"A"
"120","USGS","13055250",2016-10-28,137,"A"
"121","USGS","13055250",2016-10-29,173,"A"
"122","USGS","13055250",2016-10-30,303,"A"
"123","USGS","13055250",2016-10-31,285,"A"
