"","agency_cd","site_no","Date","X_00060_00003","X_00060_00003_cd"
"1","USGS","13055250",2017-07-01,545,"A"
"2","USGS","13055250",2017-07-02,447,"A"
"3","USGS","13055250",2017-07-03,342,"A"
"4","USGS","13055250",2017-07-04,321,"A"
"5","USGS","13055250",2017-07-05,259,"A"
"6","USGS","13055250",2017-07-06,223,"A"
"7","USGS","13055250",2017-07-07,239,"A"
"8","USGS","13055250",2017-07-08,250,"A"
"9","USGS","13055250",2017-07-09,248,"A"
"10","USGS","13055250",2017-07-10,274,"A"
"11","USGS","13055250",2017-07-11,247,"A"
"12","USGS","13055250",2017-07-12,212,"A"
"13","USGS","13055250",2017-07-13,176,"A"
"14","USGS","13055250",2017-07-14,108,"A"
"15","USGS","13055250",2017-07-15,96.2,"A"
"16","USGS","13055250",2017-07-16,75.7,"A"
"17","USGS","13055250",2017-07-17,71.6,"A"
"18","USGS","13055250",2017-07-18,86.5,"A"
"19","USGS","13055250",2017-07-19,89.8,"A"
"20","USGS","13055250",2017-07-20,92.4,"A"
"21","USGS","13055250",2017-07-21,99.3,"A"
"22","USGS","13055250",2017-07-22,110,"A"
"23","USGS","13055250",2017-07-23,106,"A"
"24","USGS","13055250",2017-07-24,93.2,"A"
"25","USGS","13055250",2017-07-25,107,"A"
"26","USGS","13055250",2017-07-26,101,"A"
"27","USGS","13055250",2017-07-27,98.1,"A"
"28","USGS","13055250",2017-07-28,114,"A"
"29","USGS","13055250",2017-07-29,117,"A"
"30","USGS","13055250",2017-07-30,139,"A"
"31","USGS","13055250",2017-07-31,116,"A"
"32","USGS","13055250",2017-08-01,96.9,"A"
"33","USGS","13055250",2017-08-02,117,"A"
"34","USGS","13055250",2017-08-03,101,"A"
"35","USGS","13055250",2017-08-04,92.3,"A"
"36","USGS","13055250",2017-08-05,92.7,"A"
"37","USGS","13055250",2017-08-06,83.7,"A"
"38","USGS","13055250",2017-08-07,91.9,"A"
"39","USGS","13055250",2017-08-08,73.6,"A"
"40","USGS","13055250",2017-08-09,73.5,"A"
"41","USGS","13055250",2017-08-10,89.3,"A"
"42","USGS","13055250",2017-08-11,92.6,"A"
"43","USGS","13055250",2017-08-12,90.9,"A"
"44","USGS","13055250",2017-08-13,81.2,"A"
"45","USGS","13055250",2017-08-14,79.2,"A"
"46","USGS","13055250",2017-08-15,73,"A"
"47","USGS","13055250",2017-08-16,123,"A"
"48","USGS","13055250",2017-08-17,131,"A"
"49","USGS","13055250",2017-08-18,121,"A"
"50","USGS","13055250",2017-08-19,95.6,"A"
"51","USGS","13055250",2017-08-20,76.2,"A"
"52","USGS","13055250",2017-08-21,63.5,"A"
"53","USGS","13055250",2017-08-22,52.5,"A"
"54","USGS","13055250",2017-08-23,50.1,"A"
"55","USGS","13055250",2017-08-24,35,"A"
"56","USGS","13055250",2017-08-25,43.5,"A"
"57","USGS","13055250",2017-08-26,46,"A"
"58","USGS","13055250",2017-08-27,32,"A"
"59","USGS","13055250",2017-08-28,40.1,"A"
"60","USGS","13055250",2017-08-29,45.6,"A"
"61","USGS","13055250",2017-08-30,46.9,"A"
"62","USGS","13055250",2017-08-31,25.6,"A"
"63","USGS","13055250",2017-09-01,21.7,"A"
"64","USGS","13055250",2017-09-02,47.3,"A"
"65","USGS","13055250",2017-09-03,53.2,"A"
"66","USGS","13055250",2017-09-04,53.8,"A"
"67","USGS","13055250",2017-09-05,44.5,"A"
"68","USGS","13055250",2017-09-06,49.5,"A"
"69","USGS","13055250",2017-09-07,58.3,"A"
"70","USGS","13055250",2017-09-08,74.6,"A"
"71","USGS","13055250",2017-09-09,81.9,"A"
"72","USGS","13055250",2017-09-10,95.5,"A"
"73","USGS","13055250",2017-09-11,75.3,"A"
"74","USGS","13055250",2017-09-12,62.3,"A"
"75","USGS","13055250",2017-09-13,66.9,"A"
"76","USGS","13055250",2017-09-14,75.8,"A"
"77","USGS","13055250",2017-09-15,120,"A"
"78","USGS","13055250",2017-09-16,178,"A"
"79","USGS","13055250",2017-09-17,167,"A"
"80","USGS","13055250",2017-09-18,170,"A"
"81","USGS","13055250",2017-09-19,167,"A"
"82","USGS","13055250",2017-09-20,173,"A"
"83","USGS","13055250",2017-09-21,188,"A"
