"","agency_cd","site_no","Date","X_00060_00003","X_00060_00003_cd"
"1","USGS","13055250",2018-07-01,133,"A"
"2","USGS","13055250",2018-07-02,122,"A"
"3","USGS","13055250",2018-07-03,111,"A"
"4","USGS","13055250",2018-07-04,83,"A"
"5","USGS","13055250",2018-07-05,65.7,"A"
"6","USGS","13055250",2018-07-06,118,"A"
"7","USGS","13055250",2018-07-07,162,"A"
"8","USGS","13055250",2018-07-08,171,"A"
"9","USGS","13055250",2018-07-09,127,"A"
"10","USGS","13055250",2018-07-10,85.4,"A"
"11","USGS","13055250",2018-07-11,77,"A"
"12","USGS","13055250",2018-07-12,60.5,"A"
"13","USGS","13055250",2018-07-13,33.3,"A"
"14","USGS","13055250",2018-07-14,37.4,"A"
"15","USGS","13055250",2018-07-15,65.5,"A"
"16","USGS","13055250",2018-07-16,70.6,"A"
"17","USGS","13055250",2018-07-17,61.6,"A"
"18","USGS","13055250",2018-07-18,55.5,"A"
"19","USGS","13055250",2018-07-19,51.2,"A"
"20","USGS","13055250",2018-07-20,53.7,"A"
"21","USGS","13055250",2018-07-21,86.6,"A"
"22","USGS","13055250",2018-07-22,109,"A"
"23","USGS","13055250",2018-07-23,69.8,"A"
"24","USGS","13055250",2018-07-24,29.8,"A"
"25","USGS","13055250",2018-07-25,40,"A"
"26","USGS","13055250",2018-07-26,40.8,"A"
"27","USGS","13055250",2018-07-27,55.8,"A"
"28","USGS","13055250",2018-07-28,65.6,"A"
"29","USGS","13055250",2018-07-29,68.2,"A"
"30","USGS","13055250",2018-07-30,59,"A"
"31","USGS","13055250",2018-07-31,34.4,"A"
"32","USGS","13055250",2018-08-01,35,"A"
"33","USGS","13055250",2018-08-02,41.9,"A"
"34","USGS","13055250",2018-08-03,24.2,"A"
"35","USGS","13055250",2018-08-04,12.9,"A"
"36","USGS","13055250",2018-08-05,17.8,"A"
"37","USGS","13055250",2018-08-06,29.4,"A"
"38","USGS","13055250",2018-08-07,16.3,"A"
"39","USGS","13055250",2018-08-08,17.1,"A"
"40","USGS","13055250",2018-08-09,23.2,"A"
"41","USGS","13055250",2018-08-10,12.1,"A"
"42","USGS","13055250",2018-08-11,5.19,"A"
"43","USGS","13055250",2018-08-12,12.8,"A"
"44","USGS","13055250",2018-08-13,38,"A"
"45","USGS","13055250",2018-08-14,29.7,"A"
"46","USGS","13055250",2018-08-15,21.7,"A"
"47","USGS","13055250",2018-08-16,24.9,"A"
"48","USGS","13055250",2018-08-17,20.6,"A"
"49","USGS","13055250",2018-08-18,26.6,"A"
"50","USGS","13055250",2018-08-19,16.7,"A"
"51","USGS","13055250",2018-08-20,7.72,"A"
"52","USGS","13055250",2018-08-21,8.95,"A"
