"","agency_cd","site_no","Date","X_00060_00003","X_00060_00003_cd"
"1","USGS","13055250",2019-07-01,247,"A"
"2","USGS","13055250",2019-07-02,271,"A"
"3","USGS","13055250",2019-07-03,259,"A"
"4","USGS","13055250",2019-07-04,243,"A"
"5","USGS","13055250",2019-07-05,246,"A"
"6","USGS","13055250",2019-07-06,235,"A"
"7","USGS","13055250",2019-07-07,249,"A"
"8","USGS","13055250",2019-07-08,225,"A"
"9","USGS","13055250",2019-07-09,242,"A"
"10","USGS","13055250",2019-07-10,208,"A"
"11","USGS","13055250",2019-07-11,147,"A"
"12","USGS","13055250",2019-07-12,137,"A"
"13","USGS","13055250",2019-07-13,212,"A"
"14","USGS","13055250",2019-07-14,242,"A"
"15","USGS","13055250",2019-07-15,209,"A"
"16","USGS","13055250",2019-07-16,150,"A"
"17","USGS","13055250",2019-07-17,108,"A"
"18","USGS","13055250",2019-07-18,109,"A"
"19","USGS","13055250",2019-07-19,93.2,"A"
"20","USGS","13055250",2019-07-20,84.2,"A"
"21","USGS","13055250",2019-07-21,42.4,"A"
"22","USGS","13055250",2019-07-22,42.3,"A"
"23","USGS","13055250",2019-07-23,30.8,"A"
"24","USGS","13055250",2019-07-24,39.1,"A"
"25","USGS","13055250",2019-07-25,52.5,"A"
"26","USGS","13055250",2019-07-26,51.9,"A"
"27","USGS","13055250",2019-07-27,56.2,"A"
"28","USGS","13055250",2019-07-28,66.7,"A"
"29","USGS","13055250",2019-07-29,55.2,"A"
"30","USGS","13055250",2019-07-30,78.7,"A"
"31","USGS","13055250",2019-07-31,95.3,"A"
"32","USGS","13055250",2019-08-01,105,"A"
"33","USGS","13055250",2019-08-02,99.2,"A"
"34","USGS","13055250",2019-08-03,118,"A"
"35","USGS","13055250",2019-08-04,114,"A"
"36","USGS","13055250",2019-08-05,124,"A"
"37","USGS","13055250",2019-08-06,115,"A"
"38","USGS","13055250",2019-08-07,110,"A"
"39","USGS","13055250",2019-08-08,64.8,"A"
"40","USGS","13055250",2019-08-09,82.3,"A"
"41","USGS","13055250",2019-08-10,114,"A"
"42","USGS","13055250",2019-08-11,139,"A"
"43","USGS","13055250",2019-08-12,147,"A"
"44","USGS","13055250",2019-08-13,143,"A"
"45","USGS","13055250",2019-08-14,103,"A"
"46","USGS","13055250",2019-08-15,75.1,"A"
"47","USGS","13055250",2019-08-16,51.6,"A"
"48","USGS","13055250",2019-08-17,41.6,"A"
"49","USGS","13055250",2019-08-18,47.4,"A"
"50","USGS","13055250",2019-08-19,44.7,"A"
"51","USGS","13055250",2019-08-20,25.1,"A"
"52","USGS","13055250",2019-08-21,15.8,"A"
"53","USGS","13055250",2019-08-22,16.3,"A"
"54","USGS","13055250",2019-08-23,22.7,"A"
"55","USGS","13055250",2019-08-24,36.3,"A"
"56","USGS","13055250",2019-08-25,49.4,"A"
"57","USGS","13055250",2019-08-26,54.2,"A"
"58","USGS","13055250",2019-08-27,52.1,"A"
"59","USGS","13055250",2019-08-28,36.1,"A"
"60","USGS","13055250",2019-08-29,37.8,"A"
"61","USGS","13055250",2019-08-30,40.3,"A"
"62","USGS","13055250",2019-08-31,27.9,"A"
"63","USGS","13055250",2019-09-01,17.8,"A"
"64","USGS","13055250",2019-09-02,26.5,"A"
"65","USGS","13055250",2019-09-03,21.7,"A"
"66","USGS","13055250",2019-09-04,16.4,"A"
"67","USGS","13055250",2019-09-05,11.5,"A"
"68","USGS","13055250",2019-09-06,16.2,"A"
"69","USGS","13055250",2019-09-07,48.2,"A"
"70","USGS","13055250",2019-09-08,69.3,"A"
"71","USGS","13055250",2019-09-09,68.4,"A"
"72","USGS","13055250",2019-09-10,54.2,"A"
"73","USGS","13055250",2019-09-11,62.5,"A"
"74","USGS","13055250",2019-09-12,66.7,"A"
"75","USGS","13055250",2019-09-13,67,"A"
"76","USGS","13055250",2019-09-14,106,"A"
"77","USGS","13055250",2019-09-15,74.3,"A"
"78","USGS","13055250",2019-09-16,77.2,"A"
"79","USGS","13055250",2019-09-17,82.3,"A"
"80","USGS","13055250",2019-09-18,92.2,"A"
"81","USGS","13055250",2019-09-19,100,"A"
"82","USGS","13055250",2019-09-20,102,"A"
"83","USGS","13055250",2019-09-21,84.6,"A"
"84","USGS","13055250",2019-09-22,79.4,"A"
"85","USGS","13055250",2019-09-23,64.2,"A"
"86","USGS","13055250",2019-09-24,65.9,"A"
"87","USGS","13055250",2019-09-25,71.7,"A"
"88","USGS","13055250",2019-09-26,68.1,"A"
"89","USGS","13055250",2019-09-27,68.6,"A"
"90","USGS","13055250",2019-09-28,80.9,"A"
"91","USGS","13055250",2019-09-29,99.8,"A"
"92","USGS","13055250",2019-09-30,127,"A"
"93","USGS","13055250",2019-10-01,109,"A"
"94","USGS","13055250",2019-10-02,98.7,"A"
"95","USGS","13055250",2019-10-03,93.1,"A"
"96","USGS","13055250",2019-10-04,88,"A"
"97","USGS","13055250",2019-10-05,91.4,"A"
"98","USGS","13055250",2019-10-06,98.6,"A"
"99","USGS","13055250",2019-10-07,89.6,"A"
"100","USGS","13055250",2019-10-08,83.4,"A"
"101","USGS","13055250",2019-10-09,84.6,"A"
"102","USGS","13055250",2019-10-10,86.5,"A"
"103","USGS","13055250",2019-10-11,85.9,"A"
"104","USGS","13055250",2019-10-12,82.5,"A"
"105","USGS","13055250",2019-10-13,80.7,"A"
"106","USGS","13055250",2019-10-14,78.5,"A"
"107","USGS","13055250",2019-10-15,74.9,"A"
"108","USGS","13055250",2019-10-16,77.3,"A"
"109","USGS","13055250",2019-10-17,75.6,"A"
"110","USGS","13055250",2019-10-18,75.9,"A"
"111","USGS","13055250",2019-10-19,77.4,"A"
"112","USGS","13055250",2019-10-20,64.7,"A"
"113","USGS","13055250",2019-10-21,59.5,"A"
"114","USGS","13055250",2019-10-22,67.3,"A"
"115","USGS","13055250",2019-10-23,130,"A"
"116","USGS","13055250",2019-10-24,129,"A"
"117","USGS","13055250",2019-10-25,115,"A"
"118","USGS","13055250",2019-10-26,119,"A"
"119","USGS","13055250",2019-10-27,113,"A e"
"120","USGS","13055250",2019-10-28,95.2,"A e"
"121","USGS","13055250",2019-10-29,76.2,"A e"
"122","USGS","13055250",2019-10-30,82,"A e"
