"","agency_cd","site_no","Date","X_00060_00003","X_00060_00003_cd"
"1","USGS","13055250",2024-07-01,265,"P"
"2","USGS","13055250",2024-07-02,238,"P"
"3","USGS","13055250",2024-07-03,222,"P"
"4","USGS","13055250",2024-07-04,168,"P"
"5","USGS","13055250",2024-07-05,122,"P"
"6","USGS","13055250",2024-07-06,73.4,"P"
"7","USGS","13055250",2024-07-07,55,"P"
"8","USGS","13055250",2024-07-08,41.1,"P"
"9","USGS","13055250",2024-07-09,9.37,"P"
"10","USGS","13055250",2024-07-10,14.1,"P"
"11","USGS","13055250",2024-07-11,35.7,"P"
"12","USGS","13055250",2024-07-12,18.2,"P"
"13","USGS","13055250",2024-07-13,10.4,"P"
"14","USGS","13055250",2024-07-14,15.1,"P"
"15","USGS","13055250",2024-07-15,30.5,"P"
"16","USGS","13055250",2024-07-16,31.2,"P"
"17","USGS","13055250",2024-07-17,17.3,"P"
"18","USGS","13055250",2024-07-18,15,"P"
"19","USGS","13055250",2024-07-19,11.8,"P"
"20","USGS","13055250",2024-07-20,12.7,"P"
"21","USGS","13055250",2024-07-21,8.61,"P"
"22","USGS","13055250",2024-07-22,4.92,"P"
"23","USGS","13055250",2024-07-23,19.2,"P"
"24","USGS","13055250",2024-07-24,20.7,"P"
"25","USGS","13055250",2024-07-25,37.3,"P"
"26","USGS","13055250",2024-07-26,45.1,"P"
"27","USGS","13055250",2024-07-27,41.9,"P"
"28","USGS","13055250",2024-07-28,52.7,"P"
"29","USGS","13055250",2024-07-29,43.2,"P"
"30","USGS","13055250",2024-07-30,17.8,"P"
"31","USGS","13055250",2024-07-31,28.6,"P"
"32","USGS","13055250",2024-08-01,29.5,"P"
"33","USGS","13055250",2024-08-02,32.2,"P"
"34","USGS","13055250",2024-08-03,27.7,"P"
"35","USGS","13055250",2024-08-04,26,"P"
"36","USGS","13055250",2024-08-05,23.3,"P"
"37","USGS","13055250",2024-08-06,25.3,"P"
"38","USGS","13055250",2024-08-07,25.2,"P"
"39","USGS","13055250",2024-08-08,28,"P"
"40","USGS","13055250",2024-08-09,34.9,"P"
"41","USGS","13055250",2024-08-10,23.6,"P"
"42","USGS","13055250",2024-08-11,21.5,"P"
"43","USGS","13055250",2024-08-12,19.8,"P"
"44","USGS","13055250",2024-08-13,10.8,"P"
"45","USGS","13055250",2024-08-14,16.8,"P"
"46","USGS","13055250",2024-08-15,11.1,"P"
"47","USGS","13055250",2024-08-16,21.1,"P"
"48","USGS","13055250",2024-08-17,3.7,"P"
"49","USGS","13055250",2024-08-18,8.29,"P"
"50","USGS","13055250",2024-08-19,25.3,"P"
"51","USGS","13055250",2024-08-20,24.9,"P"
"52","USGS","13055250",2024-08-21,36.2,"P"
"53","USGS","13055250",2024-08-22,30.1,"P"
"54","USGS","13055250",2024-08-23,6.65,"P"
"55","USGS","13055250",2024-08-24,4.14,"P"
"56","USGS","13055250",2024-08-25,14.6,"P"
"57","USGS","13055250",2024-08-26,13.4,"P"
"58","USGS","13055250",2024-08-27,10.4,"P"
"59","USGS","13055250",2024-08-28,4.28,"P"
"60","USGS","13055250",2024-08-29,11.6,"P"
"61","USGS","13055250",2024-08-30,4.6,"P"
"62","USGS","13055250",2024-08-31,0,"P"
"63","USGS","13055250",2024-09-01,0.02,"P"
"64","USGS","13055250",2024-09-02,0,"P"
"65","USGS","13055250",2024-09-03,0,"P"
"66","USGS","13055250",2024-09-04,0,"P"
"67","USGS","13055250",2024-09-05,0,"P"
"68","USGS","13055250",2024-09-06,0,"P"
"69","USGS","13055250",2024-09-07,3.14,"P"
"70","USGS","13055250",2024-09-08,9.49,"P"
"71","USGS","13055250",2024-09-09,10.8,"P"
"72","USGS","13055250",2024-09-10,5.78,"P"
"73","USGS","13055250",2024-09-11,2.17,"P"
"74","USGS","13055250",2024-09-12,8.18,"P"
"75","USGS","13055250",2024-09-13,5.86,"P"
"76","USGS","13055250",2024-09-14,14.3,"P"
"77","USGS","13055250",2024-09-15,11.5,"P"
"78","USGS","13055250",2024-09-16,9.59,"P"
"79","USGS","13055250",2024-09-17,19.5,"P"
"80","USGS","13055250",2024-09-18,22.3,"P"
"81","USGS","13055250",2024-09-19,19.8,"P"
"82","USGS","13055250",2024-09-20,48.2,"P"
"83","USGS","13055250",2024-09-21,111,"P"
"84","USGS","13055250",2024-09-22,193,"P"
"85","USGS","13055250",2024-09-23,214,"P"
"86","USGS","13055250",2024-09-24,101,"P"
"87","USGS","13055250",2024-09-25,53.7,"P"
"88","USGS","13055250",2024-09-26,17.6,"P"
"89","USGS","13055250",2024-09-27,34.2,"P"
"90","USGS","13055250",2024-09-28,32.9,"P"
"91","USGS","13055250",2024-09-29,30,"P"
"92","USGS","13055250",2024-09-30,43,"P"
"93","USGS","13055250",2024-10-01,47.9,"P"
"94","USGS","13055250",2024-10-02,39,"P"
"95","USGS","13055250",2024-10-03,40.2,"P"
"96","USGS","13055250",2024-10-04,43.4,"P"
"97","USGS","13055250",2024-10-05,46.1,"P"
"98","USGS","13055250",2024-10-06,28.9,"P"
"99","USGS","13055250",2024-10-07,21.9,"P"
"100","USGS","13055250",2024-10-08,29.5,"P"
"101","USGS","13055250",2024-10-09,53.9,"P"
"102","USGS","13055250",2024-10-10,37.4,"P"
"103","USGS","13055250",2024-10-11,31.2,"P"
"104","USGS","13055250",2024-10-12,34.6,"P"
"105","USGS","13055250",2024-10-13,25.5,"P"
"106","USGS","13055250",2024-10-14,37.3,"P"
"107","USGS","13055250",2024-10-15,43.4,"P"
"108","USGS","13055250",2024-10-16,49.2,"P"
"109","USGS","13055250",2024-10-17,59,"P"
"110","USGS","13055250",2024-10-18,56.3,"P"
"111","USGS","13055250",2024-10-19,44.3,"P"
"112","USGS","13055250",2024-10-20,46,"P"
"113","USGS","13055250",2024-10-21,44.5,"P"
"114","USGS","13055250",2024-10-22,46.8,"P"
"115","USGS","13055250",2024-10-23,50.5,"P"
"116","USGS","13055250",2024-10-24,55.3,"P"
"117","USGS","13055250",2024-10-25,52.4,"P"
"118","USGS","13055250",2024-10-26,50.9,"P"
"119","USGS","13055250",2024-10-27,52.1,"P"
"120","USGS","13055250",2024-10-28,52.7,"P"
"121","USGS","13055250",2024-10-29,54.2,"P"
"122","USGS","13055250",2024-10-30,35.9,"P"
"123","USGS","13055250",2024-10-31,38.7,"P"
